1
Deck is attached!
stateEstimateZ.x,stateEstimateZ.y,stateEstimateZ.z,ctrltargetZ.x,ctrltargetZ.y,ctrltargetZ.z,stabilizer.thrust,
4064,5655,7,4056.0,5664.0,157.0,52500.0,
4066,5654,7,4056.0,5664.0,179.0,52500.0,
4065,5653,7,4056.0,5664.0,179.0,52500.0,
4067,5651,8,4056.0,5664.0,199.0,52500.0,
4068,5650,5,4056.0,5664.0,199.0,52500.0,
4069,5653,6,4056.0,5664.0,218.0,52500.0,
4071,5658,7,4056.0,5664.0,218.0,52500.0,
4071,5656,7,4056.0,5664.0,236.0,52500.0,
4069,5663,10,4056.0,5664.0,236.0,52500.0,
4070,5661,6,4056.0,5664.0,251.0,52500.0,
4072,5657,6,4056.0,5664.0,251.0,52500.0,
4073,5663,8,4056.0,5664.0,265.0,52500.0,
4073,5662,9,4056.0,5664.0,265.0,52500.0,
4076,5663,9,4056.0,5664.0,276.0,52500.0,
4076,5669,10,4056.0,5664.0,276.0,52500.0,
4076,5668,12,4056.0,5664.0,284.0,52500.0,
4074,5669,14,4056.0,5664.0,284.0,52500.0,
4074,5666,18,4056.0,5664.0,290.0,52500.0,
4075,5665,20,4056.0,5664.0,290.0,52500.0,
4072,5661,22,4056.0,5664.0,295.0,52500.0,
4070,5660,24,4056.0,5664.0,295.0,52500.0,
4072,5662,26,4056.0,5664.0,297.0,52500.0,
4078,5662,31,4056.0,5664.0,297.0,52500.0,
4077,5658,33,4056.0,5664.0,299.0,52500.0,
4077,5657,36,4056.0,5664.0,299.0,52500.0,
4078,5658,38,4056.0,5664.0,299.0,52500.0,
4077,5656,43,4056.0,5664.0,299.0,52500.0,
4077,5654,45,4056.0,5664.0,299.0,52500.0,
4078,5656,48,4056.0,5664.0,299.0,52500.0,
4081,5656,51,4056.0,5664.0,300.0,52500.0,
4081,5656,54,4056.0,5664.0,300.0,52500.0,
4079,5650,58,4056.0,5664.0,300.0,52500.0,
4078,5645,61,4056.0,5664.0,300.0,52500.0,
4078,5644,64,4056.0,5664.0,300.0,52500.0,
4078,5644,67,4056.0,5664.0,300.0,52500.0,
4078,5642,76,4056.0,5664.0,300.0,52500.0,
4084,5640,80,4056.0,5664.0,300.0,52500.0,
4085,5640,84,4056.0,5664.0,300.0,52500.0,
4083,5636,87,4056.0,5664.0,300.0,52500.0,
4084,5636,95,4056.0,5664.0,300.0,52500.0,
4081,5632,99,4056.0,5664.0,300.0,52500.0,
4083,5632,103,4056.0,5664.0,300.0,52500.0,
4083,5629,107,4056.0,5664.0,300.0,52500.0,
4083,5628,109,4056.0,5664.0,300.0,52500.0,
4084,5627,113,4056.0,5664.0,300.0,52500.0,
4085,5628,118,4056.0,5664.0,300.0,52500.0,
4086,5627,123,4056.0,5664.0,300.0,52500.0,
4087,5630,128,4056.0,5664.0,300.0,52500.0,
4089,5631,130,4056.0,5664.0,300.0,52500.0,
4090,5635,135,4056.0,5664.0,300.0,51282.1796875,
4091,5634,140,4056.0,5664.0,300.0,51282.1796875,
4090,5632,145,4056.0,5664.0,300.0,49455.83984375,
4090,5631,146,4056.0,5664.0,300.0,49455.83984375,
4089,5628,150,4056.0,5664.0,300.0,48176.921875,
4090,5626,156,4056.0,5664.0,300.0,48176.921875,
4089,5623,161,4056.0,5664.0,300.0,46365.8671875,
4089,5621,166,4056.0,5664.0,300.0,46365.8671875,
4088,5618,171,4056.0,5664.0,300.0,44461.26953125,
4088,5617,177,4056.0,5664.0,300.0,44461.26953125,
4087,5613,182,4056.0,5664.0,300.0,42395.9296875,
4087,5610,188,4056.0,5664.0,300.0,42395.9296875,
4087,5608,191,4056.0,5664.0,300.0,40286.05859375,
4086,5606,197,4056.0,5664.0,300.0,40286.05859375,
4086,5604,202,4056.0,5664.0,300.0,38689.07421875,
4086,5601,208,4056.0,5664.0,300.0,38689.07421875,
4086,5599,211,4056.0,5664.0,300.0,36973.26953125,
4086,5597,216,4056.0,5664.0,300.0,36973.26953125,
4086,5594,222,4056.0,5664.0,300.0,35835.65625,
4086,5591,227,4056.0,5664.0,300.0,35835.65625,
4086,5589,232,4056.0,5664.0,300.0,34473.20703125,
4086,5586,236,4056.0,5664.0,300.0,34473.20703125,
4086,5585,241,4056.0,5664.0,300.0,33526.44140625,
4086,5581,246,4056.0,5664.0,300.0,33526.44140625,
4087,5579,251,4056.0,5664.0,300.0,32505.359375,
4087,5577,254,4056.0,5664.0,300.0,32505.359375,
4087,5574,259,4056.0,5664.0,300.0,31816.912109375,
4087,5572,263,4056.0,5664.0,300.0,31816.912109375,
4088,5570,267,4056.0,5664.0,300.0,31215.427734375,
4088,5566,271,4056.0,5664.0,300.0,31215.427734375,
4089,5565,275,4056.0,5664.0,300.0,30804.234375,
4089,5562,279,4056.0,5664.0,300.0,30804.234375,
4089,5559,282,4056.0,5664.0,300.0,30571.015625,
4089,5557,285,4056.0,5664.0,300.0,30571.015625,
4089,5553,289,4056.0,5664.0,300.0,30594.01953125,
4089,5551,291,4056.0,5664.0,300.0,30594.01953125,
4090,5549,294,4056.0,5664.0,300.0,30652.193359375,
4090,5546,296,4056.0,5664.0,300.0,30652.193359375,
4090,5544,298,4056.0,5664.0,300.0,31062.287109375,
4091,5542,300,4056.0,5664.0,300.0,31062.287109375,
4091,5539,301,4056.0,5664.0,300.0,31649.32421875,
